player_id,player_given_name,player_surname,team_id,season_id,round_id,Playing,Notes
CD_I293193,Luke,Brown,AD,2022,27,-3,injured
CD_I997206,Andrew,McPherson,AD,2022,27,-3,injured
CD_I1017051,Josh,Rachele,AD,2022,27,-3,injured
CD_I294733,Paul,Seedsman,AD,2022,27,-3,injured
CD_I270963,Rory,Sloane,AD,2022,27,-3,injured
CD_I1006100,Tom,Berry,BL,2022,27,-3,injured
CD_I1013260,Carter,Michael,BL,2022,27,-3,injured
CD_I992472,Oscar,McDonald,CA,2022,27,-3,injured
CD_I1012409,Luke,Parks,CA,2022,27,-3,injured
CD_I1011929,Sam,Philp,CA,2022,27,-3,injured
CD_I1009197,Charlie,Dean,CW,2022,27,-3,injured
CD_I293957,Brodie,Grundy,CW,2022,27,-3,injured
CD_I997254,Nathan,Kreuger,CW,2022,27,-3,injured
CD_I1013278,Reef,McInnes,CW,2022,27,-3,injured
CD_I993797,Tom,Wilson,CW,2022,27,-3,injured
CD_I1015827,Nik,Cox,ES,2022,27,-3,injured
CD_I1012521,Tex,Wanganeen,ES,2022,27,-3,injured
CD_I1008882,Charlie,Ballard,GC,2022,27,-3,injured
CD_I1008454,Connor,Budarick,GC,2022,27,-3,injured
CD_I1005992,Joel,Jeffrey,GC,2022,27,-3,injured
CD_I1006144,Ben,King,GC,2022,27,-3,injured
CD_I1007881,Wil,Powell,GC,2022,27,-3,injured
CD_I1017665,Bodhi,Uwland,GC,2022,27,-3,injured
CD_I298524,Lachie,Weller,GC,2022,27,-3,injured
CD_I1018020,Flynn,Kroeger,GE,2022,27,-3,injured
CD_I1021090,Cooper,Whyte,GE,2022,27,-3,injured
CD_I1015777,Ryan,Angwin,GW,2022,27,-3,injured
CD_I1002300,Jarrod,Brander,GW,2022,27,-3,injured
CD_I1009708,Jack,Buckley,GW,2022,27,-3,injured
CD_I1002251 ,Brent,Daniels,GW,2022,27,-3,injured
CD_I280804,Phil,Davis,GW,2022,27,-3,injured
CD_I1017751,Josh,Fahey,GW,2022,27,-3,injured
CD_I1000864,Lachlan,Bramble,HW,2022,27,-3,injured
CD_I1013511,Tyler,Brockman,HW,2022,27,-3,injured
CD_I293738,Sam,Frost,HW,2022,27,-3,injured
CD_I1018016,Seamus,Mitchell,HW,2022,27,-3,injured
CD_I291962,Chad,Wingard,HW,2022,27,-3,injured
CD_I1002222,James,Worpel,HW,2022,27,-3,injured
CD_I1017095,Miller,Bergman,NM,2022,27,-3,injured
CD_I1012829,Will,Phillips,NM,2022,27,-3,injured
CD_I290738,Jared,Polec,NM,2022,27,-3,injured
CD_I1004965,Tristan,Xerri,NM,2022,27,-3,injured
CD_I1009389,Jake,Pasini,PA,2022,27,-3,injured
CD_I1005717,Nick,Coffield,SK,2022,27,-3,injured
CD_I298421,Jade,Gresham,SK,2022,27,-3,injured
CD_I990840,Jack,Hayes,SK,2022,27,-3,injured
CD_I298144,Sam,Naismith,SY,2022,27,-3,injured
CD_I291545,Mitch,Wallis,WB,2022,27,-3,injured
CD_I296296,Dom,Sheed,WC,2022,27,-3,injured
